X,Y,fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,u_x,u_z
672375.253590334,5268153.17017995,1,New file 1,,,,,,,,,,,,0,110.993818459523,,
672377.120828503,5268152.4536455,1,New file 1,,,,,,,,,,,,2,110.993818459523,,
672378.988066673,5268151.73711105,1,New file 1,,,,,,,,,,,,4,110.993818459523,,
672380.742531822,5268150.78392945,1,New file 1,,,,,,,,,,,,6,119.965983042979,,
672382.475176033,5268149.78495795,1,New file 1,,,,,,,,,,,,8,119.965983042979,,
672384.207820243,5268148.78598646,1,New file 1,,,,,,,,,,,,10,119.965983042979,,
672385.940464453,5268147.78701497,1,New file 1,,,,,,,,,,,,12,119.965983042979,,
672387.548163938,5268146.63843876,1,New file 1,,,,,,,,,,,,14,139.768962331143,,
672388.839906635,5268145.11154622,1,New file 1,,,,,,,,,,,,16,139.768962331143,,
672390.131649332,5268143.58465369,1,New file 1,,,,,,,,,,,,18,139.768962331143,,
672391.42339203,5268142.05776116,1,New file 1,,,,,,,,,,,,20,139.768962331143,,
672392.715134727,5268140.53086863,1,New file 1,,,,,,,,,,,,22,139.768962331143,,
672394.006877424,5268139.0039761,1,New file 1,,,,,,,,,,,,24,139.768962331143,,
672395.339672972,5268137.51615221,1,New file 1,,,,,,,,,,,,26,133.068316601279,,
672396.800752975,5268136.1504124,1,New file 1,,,,,,,,,,,,28,133.068316601279,,
672398.261832978,5268134.78467259,1,New file 1,,,,,,,,,,,,30,133.068316601279,,
672399.722912981,5268133.41893278,1,New file 1,,,,,,,,,,,,32,133.068316601279,,
672401.426479292,5268132.47627717,1,New file 1,,,,,,,,,,,,34,106.569143829425,,
672403.343431873,5268131.90593271,1,New file 1,,,,,,,,,,,,36,106.569143829425,,
672405.260384455,5268131.33558825,1,New file 1,,,,,,,,,,,,38,106.569143829425,,
672407.177337036,5268130.76524379,1,New file 1,,,,,,,,,,,,40,106.569143829425,,
672406.718613942,5268129.27241077,1,New file 1,,,,,,,,,,,,42,210.987899462969,,
672405.824021647,5268127.48888031,1,New file 1,,,,,,,,,,,,44,203.099836672444,,
672405.039352658,5268125.64923508,1,New file 1,,,,,,,,,,,,46,203.099836672444,,
672404.254683669,5268123.80958985,1,New file 1,,,,,,,,,,,,48,203.099836672444,,
672403.47001468,5268121.96994462,1,New file 1,,,,,,,,,,,,50,203.099836672444,,
672402.68534569,5268120.13029939,1,New file 1,,,,,,,,,,,,52,203.099836672444,,
672401.900676701,5268118.29065415,1,New file 1,,,,,,,,,,,,54,203.099836672444,,
672401.116007712,5268116.45100892,1,New file 1,,,,,,,,,,,,56,203.099836672444,,
672400.331338723,5268114.61136369,1,New file 1,,,,,,,,,,,,58,203.099836672444,,
672399.546669734,5268112.77171846,1,New file 1,,,,,,,,,,,,60,203.099836672444,,
672398.762000745,5268110.93207323,1,New file 1,,,,,,,,,,,,62,203.099836672444,,
672397.977331756,5268109.092428,1,New file 1,,,,,,,,,,,,64,203.099836672444,,
672397.192662767,5268107.25278277,1,New file 1,,,,,,,,,,,,66,203.099836672444,,
672396.407993778,5268105.41313753,1,New file 1,,,,,,,,,,,,68,203.099836672444,,
672395.623324788,5268103.5734923,1,New file 1,,,,,,,,,,,,70,203.099836672444,,
672394.838655799,5268101.73384707,1,New file 1,,,,,,,,,,,,72,203.099836672444,,
672394.05398681,5268099.89420184,1,New file 1,,,,,,,,,,,,74,203.099836672444,,
672393.269317821,5268098.05455661,1,New file 1,,,,,,,,,,,,76,203.099836672444,,
672392.484648832,5268096.21491138,1,New file 1,,,,,,,,,,,,78,203.099836672444,,
672391.672099832,5268094.39198438,1,New file 1,,,,,,,,,,,,80,218.798134910696,,
672390.418942948,5268092.83326766,1,New file 1,,,,,,,,,,,,82,218.798134910696,,
672389.165786063,5268091.27455093,1,New file 1,,,,,,,,,,,,84,218.798134910696,,
672387.912629179,5268089.71583421,1,New file 1,,,,,,,,,,,,86,218.798134910696,,
672386.170907249,5268088.94604721,1,New file 1,,,,,,,,,,,,88,257.66400732185,,
672384.217084133,5268088.51875897,1,New file 1,,,,,,,,,,,,90,257.66400732185,,
672382.263261017,5268088.09147074,1,New file 1,,,,,,,,,,,,92,257.66400732185,,
672380.309437901,5268087.66418251,1,New file 1,,,,,,,,,,,,94,257.66400732185,,
672378.469912021,5268086.94775483,1,New file 1,,,,,,,,,,,,96,239.198078383185,,
672376.752026574,5268085.92361148,1,New file 1,,,,,,,,,,,,98,239.198078383185,,
672375.034141127,5268084.89946814,1,New file 1,,,,,,,,,,,,100,239.198078383185,,
672373.508453362,5268083.61316875,1,New file 1,,,,,,,,,,,,102,228.308484197077,,
672372.014980002,5268082.28292917,1,New file 1,,,,,,,,,,,,104,228.308484197077,,
672370.521506643,5268080.9526896,1,New file 1,,,,,,,,,,,,106,228.308484197077,,
672369.028033284,5268079.62245002,1,New file 1,,,,,,,,,,,,108,228.308484197077,,
672367.534559925,5268078.29221045,1,New file 1,,,,,,,,,,,,110,228.308484197077,,
672366.041086566,5268076.96197087,1,New file 1,,,,,,,,,,,,112,228.308484197077,,
672364.409306882,5268075.85864325,1,New file 1,,,,,,,,,,,,114,248.965615426568,,
672362.542576495,5268075.14078695,1,New file 1,,,,,,,,,,,,116,248.965615426568,,
672360.675846109,5268074.42293066,1,New file 1,,,,,,,,,,,,118,248.965615426568,,
672358.809115723,5268073.70507436,1,New file 1,,,,,,,,,,,,120,248.965615426568,,
672356.942385336,5268072.98721806,1,New file 1,,,,,,,,,,,,122,248.965615426568,,
672355.07565495,5268072.26936176,1,New file 1,,,,,,,,,,,,124,248.965615426568,,
672353.208924563,5268071.55150546,1,New file 1,,,,,,,,,,,,126,248.965615426568,,
672351.342194177,5268070.83364916,1,New file 1,,,,,,,,,,,,128,248.965615426568,,
672349.475463791,5268070.11579287,1,New file 1,,,,,,,,,,,,130,248.965615426568,,
672347.608733404,5268069.39793657,1,New file 1,,,,,,,,,,,,132,248.965615426568,,
672345.782044529,5268068.58715134,1,New file 1,,,,,,,,,,,,134,244.413591384971,,
672343.978174533,5268067.72340772,1,New file 1,,,,,,,,,,,,136,244.413591384971,,
672342.174304537,5268066.85966411,1,New file 1,,,,,,,,,,,,138,244.413591384971,,
672340.370434541,5268065.99592049,1,New file 1,,,,,,,,,,,,140,244.413591384971,,
672338.696000487,5268064.92724435,1,New file 1,,,,,,,,,,,,142,231.033171244571,,
672337.140980138,5268063.66950363,1,New file 1,,,,,,,,,,,,144,231.033171244571,,
672335.585959789,5268062.41176291,1,New file 1,,,,,,,,,,,,146,231.033171244571,,
672334.03093944,5268061.15402219,1,New file 1,,,,,,,,,,,,148,231.033171244571,,
672332.47591909,5268059.89628148,1,New file 1,,,,,,,,,,,,150,231.033171244571,,
672330.920898741,5268058.63854076,1,New file 1,,,,,,,,,,,,152,231.033171244571,,
672329.36598241,5268057.38067147,1,New file 1,,,,,,,,,,,,154,231.020393671949,,
672327.811242589,5268056.12258399,1,New file 1,,,,,,,,,,,,156,231.020393671949,,
672326.256502768,5268054.86449652,1,New file 1,,,,,,,,,,,,158,231.020393671949,,
672324.770029095,5268053.53359263,1,New file 1,,,,,,,,,,,,160,222.674196156647,,
672323.414371848,5268052.06315275,1,New file 1,,,,,,,,,,,,162,222.674196156647,,
672322.058714601,5268050.59271287,1,New file 1,,,,,,,,,,,,164,222.674196156647,,
672320.584809414,5268049.25028462,1,New file 1,,,,,,,,,,,,166,231.86674243689,,
672319.011655957,5268048.01529952,1,New file 1,,,,,,,,,,,,168,231.86674243689,,
672317.4385025,5268046.78031441,1,New file 1,,,,,,,,,,,,170,231.86674243689,,
672315.865349043,5268045.54532931,1,New file 1,,,,,,,,,,,,172,231.86674243689,,
672314.20246023,5268044.43869825,1,New file 1,,,,,,,,,,,,174,238.216636141553,,
672312.502368907,5268043.38528025,1,New file 1,,,,,,,,,,,,176,238.216636141553,,
672310.802277583,5268042.33186224,1,New file 1,,,,,,,,,,,,178,238.216636141553,,
672309.224412043,5268041.14074959,1,New file 1,,,,,,,,,,,,180,218.595115522053,,
672307.976786104,5268039.57760228,1,New file 1,,,,,,,,,,,,182,218.595115522053,,
672306.729160164,5268038.01445497,1,New file 1,,,,,,,,,,,,184,218.595115522053,,
672305.481534225,5268036.45130765,1,New file 1,,,,,,,,,,,,186,218.595115522053,,
672304.233908286,5268034.88816034,1,New file 1,,,,,,,,,,,,188,218.595115522053,,
672302.986282347,5268033.32501303,1,New file 1,,,,,,,,,,,,190,218.595115522053,,
672301.738656407,5268031.76186572,1,New file 1,,,,,,,,,,,,192,218.595115522053,,
672300.491030468,5268030.19871841,1,New file 1,,,,,,,,,,,,194,218.595115522053,,
672299.243404529,5268028.6355711,1,New file 1,,,,,,,,,,,,196,218.595115522053,,
672297.995778589,5268027.07242379,1,New file 1,,,,,,,,,,,,198,218.595115522053,,
672296.724213118,5268025.53072631,1,New file 1,,,,,,,,,,,,200,225.125599763484,,
672295.306902817,5268024.11961628,1,New file 1,,,,,,,,,,,,202,225.125599763484,,
672293.889592516,5268022.70850626,1,New file 1,,,,,,,,,,,,204,225.125599763484,,
672292.472282215,5268021.29739623,1,New file 1,,,,,,,,,,,,206,225.125599763484,,
672291.054971914,5268019.8862862,1,New file 1,,,,,,,,,,,,208,225.125599763484,,
672289.637661613,5268018.47517617,1,New file 1,,,,,,,,,,,,210,225.125599763484,,
672288.220351312,5268017.06406615,1,New file 1,,,,,,,,,,,,212,225.125599763484,,
672286.803041011,5268015.65295612,1,New file 1,,,,,,,,,,,,214,225.125599763484,,
672285.385730709,5268014.24184609,1,New file 1,,,,,,,,,,,,216,225.125599763484,,
672283.968420408,5268012.83073606,1,New file 1,,,,,,,,,,,,218,225.125599763484,,
672282.551110107,5268011.41962603,1,New file 1,,,,,,,,,,,,220,225.125599763484,,
672281.145798753,5268009.9974666,1,New file 1,,,,,,,,,,,,222,220.156173443206,,
672279.856052237,5268008.46888754,1,New file 1,,,,,,,,,,,,224,220.156173443206,,
672278.566305722,5268006.94030849,1,New file 1,,,,,,,,,,,,226,220.156173443206,,
672277.27805934,5268005.4104653,1,New file 1,,,,,,,,,,,,228,220.084196340142,,
672275.990234099,5268003.88026722,1,New file 1,,,,,,,,,,,,230,220.084196340142,,
672274.702408859,5268002.35006915,1,New file 1,,,,,,,,,,,,232,220.084196340142,,
672273.414583619,5268000.81987107,1,New file 1,,,,,,,,,,,,234,220.084196340142,,
672272.126758379,5267999.289673,1,New file 1,,,,,,,,,,,,236,220.084196340142,,
672270.838933138,5267997.75947492,1,New file 1,,,,,,,,,,,,238,220.084196340142,,
672269.551107898,5267996.22927685,1,New file 1,,,,,,,,,,,,240,220.084196340142,,
672268.263282658,5267994.69907877,1,New file 1,,,,,,,,,,,,242,220.084196340142,,
672266.975457418,5267993.1688807,1,New file 1,,,,,,,,,,,,244,220.084196340142,,
672265.687632177,5267991.63868262,1,New file 1,,,,,,,,,,,,246,220.084196340142,,
672264.399806937,5267990.10848454,1,New file 1,,,,,,,,,,,,248,220.084196340142,,
672263.111981697,5267988.57828647,1,New file 1,,,,,,,,,,,,250,220.084196340142,,
672261.824156457,5267987.04808839,1,New file 1,,,,,,,,,,,,252,220.084196340142,,
672260.536331216,5267985.51789032,1,New file 1,,,,,,,,,,,,254,220.084196340142,,
672259.248505976,5267983.98769224,1,New file 1,,,,,,,,,,,,256,220.084196340142,,
672257.960680736,5267982.45749417,1,New file 1,,,,,,,,,,,,258,220.084196340142,,
672256.672855496,5267980.92729609,1,New file 1,,,,,,,,,,,,260,220.084196340142,,
672255.385030255,5267979.39709802,1,New file 1,,,,,,,,,,,,262,220.084196340142,,
672254.097205015,5267977.86689994,1,New file 1,,,,,,,,,,,,264,220.084196340142,,
672252.848794982,5267976.30558425,1,New file 1,,,,,,,,,,,,266,216.496750678019,,
672251.659240586,5267974.69780306,1,New file 1,,,,,,,,,,,,268,216.496750678019,,
672250.46968619,5267973.09002188,1,New file 1,,,,,,,,,,,,270,216.496750678019,,
672249.280131794,5267971.48224069,1,New file 1,,,,,,,,,,,,272,216.496750678019,,
672248.090577398,5267969.87445951,1,New file 1,,,,,,,,,,,,274,216.496750678019,,
672246.901023002,5267968.26667832,1,New file 1,,,,,,,,,,,,276,216.496750678019,,
672245.711468606,5267966.65889714,1,New file 1,,,,,,,,,,,,278,216.496750678019,,
672244.521914211,5267965.05111595,1,New file 1,,,,,,,,,,,,280,216.496750678019,,
672243.332359815,5267963.44333477,1,New file 1,,,,,,,,,,,,282,216.496750678019,,
672242.142805419,5267961.83555358,1,New file 1,,,,,,,,,,,,284,216.496750678019,,
672240.953251023,5267960.2277724,1,New file 1,,,,,,,,,,,,286,216.496750678019,,
672239.763696627,5267958.61999121,1,New file 1,,,,,,,,,,,,288,216.496750678019,,
672238.574142231,5267957.01221003,1,New file 1,,,,,,,,,,,,290,216.496750678019,,
672237.384587835,5267955.40442884,1,New file 1,,,,,,,,,,,,292,216.496750678019,,
672236.195033439,5267953.79664766,1,New file 1,,,,,,,,,,,,294,216.496750678019,,
672235.005479043,5267952.18886647,1,New file 1,,,,,,,,,,,,296,216.496750678019,,
672233.897335901,5267950.53420235,1,New file 1,,,,,,,,,,,,298,203.376622421118,,
672233.103789102,5267948.69836917,1,New file 1,,,,,,,,,,,,300,203.376622421118,,
672232.310242304,5267946.86253598,1,New file 1,,,,,,,,,,,,302,203.376622421118,,
672231.516695505,5267945.0267028,1,New file 1,,,,,,,,,,,,304,203.376622421118,,
672230.723148707,5267943.19086962,1,New file 1,,,,,,,,,,,,306,203.376622421118,,
672229.929601908,5267941.35503643,1,New file 1,,,,,,,,,,,,308,203.376622421118,,
672229.065628032,5267939.556485,1,New file 1,,,,,,,,,,,,310,212.413887045121,,
672227.993565186,5267937.86808894,1,New file 1,,,,,,,,,,,,312,212.413887045121,,
672226.92150234,5267936.17969288,1,New file 1,,,,,,,,,,,,314,212.413887045121,,
672225.849439494,5267934.49129682,1,New file 1,,,,,,,,,,,,316,212.413887045121,,
672224.777376649,5267932.80290076,1,New file 1,,,,,,,,,,,,318,212.413887045121,,
672223.857991777,5267931.05419239,1,New file 1,,,,,,,,,,,,320,190.697079572607,,
672223.486758717,5267929.08894787,1,New file 1,,,,,,,,,,,,322,190.697079572607,,
672223.115525656,5267927.12370336,1,New file 1,,,,,,,,,,,,324,190.697079572607,,
672222.744292596,5267925.15845884,1,New file 1,,,,,,,,,,,,326,190.697079572607,,
672222.375420698,5267923.19299675,1,New file 1,,,,,,,,,,,,328,179.832182951948,,
672222.38127861,5267921.19300533,1,New file 1,,,,,,,,,,,,330,179.832182951948,,
672222.387136521,5267919.19301391,1,New file 1,,,,,,,,,,,,332,179.832182951948,,
672222.317964891,5267917.20116723,1,New file 1,,,,,,,,,,,,334,192.558653526229,,
672221.779847011,5267915.28407162,1,New file 1,,,,,,,,,,,,336,204.948292480386,,
672220.936246656,5267913.47069399,1,New file 1,,,,,,,,,,,,338,204.948292480386,,
672219.649418004,5267912.02185667,1,New file 1,,,,,,,,,,,,340,233.923994236911,,
672218.032944892,5267910.8441408,1,New file 1,,,,,,,,,,,,342,233.923994236911,,
672216.664233552,5267909.40474122,1,New file 1,,,,,,,,,,,,344,219.206740635795,,
672215.399992617,5267907.85500097,1,New file 1,,,,,,,,,,,,346,219.206740635795,,
672214.135751682,5267906.30526071,1,New file 1,,,,,,,,,,,,348,219.206740635795,,
672213.246679901,5267904.55689272,1,New file 1,,,,,,,,,,,,350,196.589895204512,,
672212.675641199,5267902.64014683,1,New file 1,,,,,,,,,,,,352,196.589895204512,,
672212.244443615,5267900.71798219,1,New file 1,,,,,,,,,,,,354,167.848228740491,,
672212.665447578,5267898.76279533,1,New file 1,,,,,,,,,,,,356,167.848228740491,,
672213.086451541,5267896.80760847,1,New file 1,,,,,,,,,,,,358,167.848228740491,,
672214.306418445,5267895.38524268,1,New file 1,,,,,,,,,,,,360,124.753853823197,,
672215.949635639,5267894.24513862,1,New file 1,,,,,,,,,,,,362,124.753853823197,,
672217.681260698,5267893.29233546,1,New file 1,,,,,,,,,,,,364,105.781690490246,,
672219.605870607,5267892.74838997,1,New file 1,,,,,,,,,,,,366,105.781690490246,,
672221.530480517,5267892.20444448,1,New file 1,,,,,,,,,,,,368,105.781690490246,,
672223.497960843,5267892.45706922,1,New file 1,,,,,,,,,,,,370,80.379540372154,,
672225.469833689,5267892.79131087,1,New file 1,,,,,,,,,,,,372,80.379540372154,,
672226.943441157,5267894.09015808,1,New file 1,,,,,,,,,,,,374,44.9833822024626,,
672228.357244488,5267895.50478176,1,New file 1,,,,,,,,,,,,376,44.9833822024626,,
672229.771047819,5267896.91940543,1,New file 1,,,,,,,,,,,,378,44.9833822024626,,
672231.18485115,5267898.33402911,1,New file 1,,,,,,,,,,,,380,44.9833822024626,,
672232.598654481,5267899.74865278,1,New file 1,,,,,,,,,,,,382,44.9833822024626,,
672234.012457812,5267901.16327646,1,New file 1,,,,,,,,,,,,384,44.9833822024626,,
672235.426261143,5267902.57790013,1,New file 1,,,,,,,,,,,,386,44.9833822024626,,
672236.840064474,5267903.99252381,1,New file 1,,,,,,,,,,,,388,44.9833822024626,,
672238.100907808,5267905.54305853,1,New file 1,,,,,,,,,,,,390,38.261348656679,,
672239.33940678,5267907.11344711,1,New file 1,,,,,,,,,,,,392,38.261348656679,,
672240.577905752,5267908.68383569,1,New file 1,,,,,,,,,,,,394,38.261348656679,,
672241.816404724,5267910.25422428,1,New file 1,,,,,,,,,,,,396,38.261348656679,,
672243.054903696,5267911.82461286,1,New file 1,,,,,,,,,,,,398,38.261348656679,,
672244.293402668,5267913.39500144,1,New file 1,,,,,,,,,,,,400,38.261348656679,,
672245.53190164,5267914.96539002,1,New file 1,,,,,,,,,,,,402,38.261348656679,,
672246.770400612,5267916.5357786,1,New file 1,,,,,,,,,,,,404,38.261348656679,,
672248.008899584,5267918.10616718,1,New file 1,,,,,,,,,,,,406,38.261348656679,,
672249.247398556,5267919.67655576,1,New file 1,,,,,,,,,,,,408,38.261348656679,,
672250.485897528,5267921.24694434,1,New file 1,,,,,,,,,,,,410,38.261348656679,,
672251.7243965,5267922.81733293,1,New file 1,,,,,,,,,,,,412,38.261348656679,,
672252.962895472,5267924.38772151,1,New file 1,,,,,,,,,,,,414,38.261348656679,,
672254.201394444,5267925.95811009,1,New file 1,,,,,,,,,,,,416,38.261348656679,,
672255.439893416,5267927.52849867,1,New file 1,,,,,,,,,,,,418,38.261348656679,,
672256.678392388,5267929.09888725,1,New file 1,,,,,,,,,,,,420,38.261348656679,,
672257.91689136,5267930.66927583,1,New file 1,,,,,,,,,,,,422,38.261348656679,,
672259.155390332,5267932.23966441,1,New file 1,,,,,,,,,,,,424,38.261348656679,,
672260.393889304,5267933.810053,1,New file 1,,,,,,,,,,,,426,38.261348656679,,
672261.772202286,5267935.22170614,1,New file 1,,,,,,,,,,,,428,58.9915192727613,,
672263.4863844,5267936.25203603,1,New file 1,,,,,,,,,,,,430,58.9915192727613,,
672265.200566515,5267937.28236592,1,New file 1,,,,,,,,,,,,432,58.9915192727613,,
672266.969903565,5267938.17323798,1,New file 1,,,,,,,,,,,,434,77.8513380671875,,
672268.92511327,5267938.59413584,1,New file 1,,,,,,,,,,,,436,77.8513380671875,,
672270.724698869,5267938.35907009,1,New file 1,,,,,,,,,,,,438,128.841440103229,,
672271.42469055,5267936.78228916,1,New file 1,,,,,,,,,,,,440,189.955170470733,,
672270.94577313,5267934.8732374,1,New file 1,,,,,,,,,,,,442,219.151203583881,,
672269.683034958,5267933.32227244,1,New file 1,,,,,,,,,,,,444,219.151203583881,,
672268.420296787,5267931.77130748,1,New file 1,,,,,,,,,,,,446,219.151203583881,,
672267.157558615,5267930.22034252,1,New file 1,,,,,,,,,,,,448,219.151203583881,,
672266.258523615,5267928.45610955,1,New file 1,,,,,,,,,,,,450,201.621750883423,,
672265.52156863,5267926.59683621,1,New file 1,,,,,,,,,,,,452,201.621750883423,,
672264.789821009,5267924.73578527,1,New file 1,,,,,,,,,,,,454,196.074099201043,,
672264.236060408,5267922.81397644,1,New file 1,,,,,,,,,,,,456,196.074099201043,,
672263.682299806,5267920.89216761,1,New file 1,,,,,,,,,,,,458,196.074099201043,,
672263.128539205,5267918.97035877,1,New file 1,,,,,,,,,,,,460,196.074099201043,,
672262.574778603,5267917.04854994,1,New file 1,,,,,,,,,,,,462,196.074099201043,,
672262.021018002,5267915.1267411,1,New file 1,,,,,,,,,,,,464,196.074099201043,,
672261.520065346,5267913.19100947,1,New file 1,,,,,,,,,,,,466,193.465726672482,,
672261.054338011,5267911.24599069,1,New file 1,,,,,,,,,,,,468,193.465726672482,,
672260.588610676,5267909.30097191,1,New file 1,,,,,,,,,,,,470,193.465726672482,,
672260.122883341,5267907.35595313,1,New file 1,,,,,,,,,,,,472,193.465726672482,,
672259.657156006,5267905.41093435,1,New file 1,,,,,,,,,,,,474,193.465726672482,,
672259.191428671,5267903.46591557,1,New file 1,,,,,,,,,,,,476,193.465726672482,,
672258.549519618,5267901.57341764,1,New file 1,,,,,,,,,,,,478,199.733554762743,,
672257.874226489,5267899.69087171,1,New file 1,,,,,,,,,,,,480,199.733554762743,,
672257.198933361,5267897.80832578,1,New file 1,,,,,,,,,,,,482,199.733554762743,,
672256.523640232,5267895.92577984,1,New file 1,,,,,,,,,,,,484,199.733554762743,,
672255.848347103,5267894.04323391,1,New file 1,,,,,,,,,,,,486,199.733554762743,,
672255.173053974,5267892.16068798,1,New file 1,,,,,,,,,,,,488,199.733554762743,,
672254.258447224,5267890.40755117,1,New file 1,,,,,,,,,,,,490,217.071160910012,,
672253.052834308,5267888.81177628,1,New file 1,,,,,,,,,,,,492,217.071160910012,,
672251.847221393,5267887.21600139,1,New file 1,,,,,,,,,,,,494,217.071160910012,,
672250.641608477,5267885.6202265,1,New file 1,,,,,,,,,,,,496,217.071160910012,,
672249.435995562,5267884.02445161,1,New file 1,,,,,,,,,,,,498,217.071160910012,,
672249.089900961,5267882.29372752,1,New file 1,,,,,,,,,,,,500,160.774671365252,,
672250.503692671,5267881.24232548,1,New file 1,,,,,,,,,,,,502,103.341012623627,,
672252.341300183,5267881.75700779,1,New file 1,,,,,,,,,,,,504,63.9836459883085,,
672254.138637952,5267882.63426314,1,New file 1,,,,,,,,,,,,506,63.9836459883085,,
672255.68684596,5267883.86865696,1,New file 1,,,,,,,,,,,,508,46.2192660118325,,
672257.130831808,5267885.25245784,1,New file 1,,,,,,,,,,,,510,46.2192660118325,,
672258.574817656,5267886.63625872,1,New file 1,,,,,,,,,,,,512,46.2192660118325,,
672260.018803505,5267888.0200596,1,New file 1,,,,,,,,,,,,514,46.2192660118325,,
672261.462789353,5267889.40386048,1,New file 1,,,,,,,,,,,,516,46.2192660118325,,
672262.752940805,5267890.91767994,1,New file 1,,,,,,,,,,,,518,34.1887477969508,,
672263.876782682,5267892.57206183,1,New file 1,,,,,,,,,,,,520,34.1887477969508,,
672265.000624558,5267894.22644372,1,New file 1,,,,,,,,,,,,522,34.1887477969508,,
672266.124466435,5267895.88082561,1,New file 1,,,,,,,,,,,,524,34.1887477969508,,
672267.248308312,5267897.5352075,1,New file 1,,,,,,,,,,,,526,34.1887477969508,,
672268.372150188,5267899.18958939,1,New file 1,,,,,,,,,,,,528,34.1887477969508,,
672269.612400945,5267900.74957759,1,New file 1,,,,,,,,,,,,530,43.8870945323902,,
672270.998879968,5267902.19099214,1,New file 1,,,,,,,,,,,,532,43.8870945323902,,
672272.385358992,5267903.6324067,1,New file 1,,,,,,,,,,,,534,43.8870945323902,,
672273.771838015,5267905.07382125,1,New file 1,,,,,,,,,,,,536,43.8870945323902,,
672275.158317038,5267906.51523581,1,New file 1,,,,,,,,,,,,538,43.8870945323902,,
672276.544796061,5267907.95665036,1,New file 1,,,,,,,,,,,,540,43.8870945323902,,
672278.04874002,5267909.26867138,1,New file 1,,,,,,,,,,,,542,51.6458524039844,,
672279.617120612,5267910.5097122,1,New file 1,,,,,,,,,,,,544,51.6458524039844,,
672281.185501203,5267911.75075302,1,New file 1,,,,,,,,,,,,546,51.6458524039844,,
672282.753881794,5267912.99179384,1,New file 1,,,,,,,,,,,,548,51.6458524039844,,
672284.322262385,5267914.23283466,1,New file 1,,,,,,,,,,,,550,51.6458524039844,,
