fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,0,110.993818459523,672375.2535903336,5268153.1701799547,2758.25359033362,383.82982004527
1,New file 1,,,,,,,,,,,,2,110.993818459523,672377.1208285032,5268152.4536455041,2760.12082850316,384.54635449592
1,New file 1,,,,,,,,,,,,4,110.993818459523,672378.9880666726,5268151.7371110544,2761.98806667258,385.262888945639
1,New file 1,,,,,,,,,,,,6,119.965983042979,672380.7425318224,5268150.7839294458,2763.74253182241,386.216070554219
1,New file 1,,,,,,,,,,,,8,119.965983042979,672382.4751760326,5268149.7849579537,2765.47517603263,387.215042046271
1,New file 1,,,,,,,,,,,,10,119.965983042979,672384.2078202429,5268148.7859864626,2767.20782024274,388.214013537392
1,New file 1,,,,,,,,,,,,12,119.965983042979,672385.9404644530,5268147.7870149706,2768.94046445296,389.212985029444
1,New file 1,,,,,,,,,,,,14,139.768962331143,672387.5481639382,5268146.6384387556,2770.54816393822,390.361561244354
1,New file 1,,,,,,,,,,,,16,139.768962331143,672388.8399066353,5268145.1115462231,2771.83990663534,391.888453776948
1,New file 1,,,,,,,,,,,,18,139.768962331143,672390.1316493326,5268143.5846536914,2773.13164933247,393.415346308611
1,New file 1,,,,,,,,,,,,20,139.768962331143,672391.4233920296,5268142.0577611588,2774.4233920296,394.942238841206
1,New file 1,,,,,,,,,,,,22,139.768962331143,672392.7151347268,5268140.5308686271,2775.71513472684,396.469131372869
1,New file 1,,,,,,,,,,,,24,139.768962331143,672394.0068774240,5268139.0039760955,2777.00687742396,397.996023904532
1,New file 1,,,,,,,,,,,,26,133.068316601279,672395.3396729722,5268137.5161522059,2778.3396729721,399.483847794123
1,New file 1,,,,,,,,,,,,28,133.068316601279,672396.8007529750,5268136.1504123975,2779.80075297493,400.849587602541
1,New file 1,,,,,,,,,,,,30,133.068316601279,672398.2618329778,5268134.7846725881,2781.26183297776,402.21532741189
1,New file 1,,,,,,,,,,,,32,133.068316601279,672399.7229129808,5268133.4189327797,2782.72291298071,403.581067220308
1,New file 1,,,,,,,,,,,,34,106.569143829425,672401.4264792922,5268132.4762771651,2784.4264792921,404.523722834885
1,New file 1,,,,,,,,,,,,36,106.569143829425,672403.3434318734,5268131.9059327068,2786.34343187336,405.094067293219
1,New file 1,,,,,,,,,,,,38,106.569143829425,672405.2603844546,5268131.3355882475,2788.26038445451,405.664411752485
1,New file 1,,,,,,,,,,,,40,106.569143829425,672407.1773370358,5268130.7652437892,2790.17733703577,406.234756210819
1,New file 1,,,,,,,,,,,,42,210.987899462969,672406.7186139418,5268129.2724107681,2789.7186139418,407.727589231916
